player_name,opponent_name,w_or_l,tourney_date,tourney_id,tourney_name,1in_sp,1w_sp,2w_sp,1w_rp,2w_rp,t_sp,t_rp,avg_1w_sp,avg_t_rp,avg_t_sp,avg_t_sp_365,1w_sp_comp,t_sp_comp,t_rp_comp
Novak Djokovic,Roger Federer,0,2006-04-17,2006-410,Monte Carlo Masters,0.6489,0.5902,0.6552,0.2821,0.3824,0.5851,0.1781,0.5902,0.1781,0.5851,0.6368857150000002,0.0,0.0,0.0
Novak Djokovic,Roger Federer,0,2007-01-15,2007-580,Australian Open,0.6139,0.6129,0.4865,0.2,0.3103,0.5545,0.125,0.70265,0.23515,0.657725,0.6566590520689654,-0.08975,-0.10322500000000001,-0.11015
Novak Djokovic,Roger Federer,0,2007-02-26,2007-495,Dubai,0.6429,0.6667,0.5484,0.2581,0.4054,0.602,0.16,0.72606667,0.1724,0.65916667,0.6598000001666661,-0.059366670000000066,-0.057166669999999975,-0.012399999999999994
Novak Djokovic,Roger Federer,1,2007-08-05,2007-421,Canada Masters,0.6563,0.6984,0.6333,0.2319,0.5625,0.6563,0.1863,0.79582,0.18836,0.7319,0.660570270135135,-0.09741999999999995,-0.0756,-0.0020600000000000063
Novak Djokovic,Roger Federer,0,2007-08-27,2007-560,US Open,0.5517,0.7031,0.6444,0.2121,0.3056,0.6379,0.1415,0.76915714,0.19321429,0.69665714,0.6657830685185187,-0.06605714000000007,-0.058757139999999985,-0.051714290000000024
Novak Djokovic,Roger Federer,1,2008-01-14,2008-580,Australian Open,0.6814,0.7792,0.5,0.2941,0.5385,0.6637,0.211,0.77135714,0.23915714,0.69165714,0.6608956596202534,0.007842860000000007,-0.027957140000000047,-0.028157139999999997
Novak Djokovic,Roger Federer,0,2008-04-20,2008-410,Monte Carlo Masters,0.5968,0.5946,0.4545,0.1818,0.5,0.5161,0.2381,0.70585,0.28055,0.6612,0.6651736838157895,-0.11124999999999996,-0.1451,-0.042450000000000015
Novak Djokovic,Roger Federer,0,2008-08-25,2008-560,US Open,0.6452,0.7125,0.5128,0.2375,0.3864,0.621,0.144,0.73548333,0.19755,0.68911667,0.6810702074999994,-0.02298332999999997,-0.06811666999999999,-0.053550000000000014
Novak Djokovic,Roger Federer,1,2009-03-25,2009-403,Miami Masters,0.6986,0.6863,0.6667,0.4167,0.5357,0.6438,0.2375,0.72585,0.25133333,0.6766,0.6758294117647057,-0.039549999999999974,-0.03279999999999994,-0.013833330000000033
Novak Djokovic,Roger Federer,1,2009-04-27,2009-416,Rome Masters,0.5,0.64,0.6364,0.275,0.5526,0.6,0.2963,0.66514,0.26334,0.60462,0.6716795555555554,-0.02513999999999994,-0.0046200000000000685,0.03295999999999999
Novak Djokovic,Roger Federer,0,2009-08-16,2009-422,Cincinnati Masters,0.679,0.6,0.36,0.1515,0.4444,0.5185,0.2,0.77944,0.2206,0.67984,0.6670773173170732,-0.17944000000000004,-0.16134000000000004,-0.02059999999999998
Novak Djokovic,Roger Federer,0,2009-08-31,2009-560,US Open,0.6783,0.6795,0.6061,0.2222,0.3488,0.6348,0.1651,0.73945,0.22988333,0.68883333,0.6666178860975612,-0.05995000000000006,-0.05403332999999999,-0.06478333
Novak Djokovic,Roger Federer,1,2009-11-02,2009-328,Basel,0.6429,0.7143,0.6786,0.3115,0.5417,0.6531,0.1628,0.7681,0.23896,0.68886,0.664011956304348,-0.05379999999999996,-0.035760000000000014,-0.07616
Novak Djokovic,Roger Federer,0,2010-08-09,2010-421,Canada Masters,0.6864,0.5679,0.5294,0.2727,0.5526,0.5424,0.2421,0.668075,0.24375,0.631025,0.6516753199999998,-0.10017500000000001,-0.08862499999999995,-0.0016499999999999848
Novak Djokovic,Roger Federer,1,2010-08-30,2010-560,US Open,0.6225,0.6809,0.6667,0.2619,0.507,0.6623,0.2563,0.70292857,0.2003,0.65428571,0.6477744754666666,-0.022028570000000025,0.00801428999999998,0.055999999999999966
Novak Djokovic,Roger Federer,0,2010-10-10,2010-5014,Shanghai Masters,0.64,0.625,0.6522,0.2444,0.4,0.6,0.1781,0.743225,0.197125,0.68795,0.6518897428205129,-0.11822500000000002,-0.08794999999999997,-0.019024999999999986
Novak Djokovic,Roger Federer,0,2010-11-01,2010-328,Basel,0.6951,0.6491,0.6957,0.2041,0.3871,0.6463,0.1905,0.74,0.21858,0.6891,0.6547303789873422,-0.09089999999999998,-0.04280000000000006,-0.028079999999999994
Novak Djokovic,Roger Federer,0,2010-11-21,2010-605,Tour Finals,0.614,0.5714,0.4737,0.2353,0.4,0.5088,0.1636,0.6834,0.214725,0.637475,0.6510611478378383,-0.11199999999999999,-0.12867499999999998,-0.051125000000000004
Novak Djokovic,Roger Federer,1,2011-01-17,2011-580,Australian Open,0.688,0.7326,0.4706,0.2742,0.5349,0.632,0.219,0.74881429,0.2893,0.68934286,0.6527444220547951,-0.016214289999999965,-0.057342859999999996,-0.0703
Novak Djokovic,Roger Federer,1,2011-02-21,2011-495,Dubai,0.6735,0.8182,0.5625,0.3714,0.5909,0.7347,0.2414,0.78524,0.247,0.71892,0.6520752773611114,0.03295999999999999,0.015780000000000016,-0.005599999999999994
Novak Djokovic,Roger Federer,1,2011-03-10,2011-404,Indian Wells Masters,0.6706,0.6316,0.625,0.3125,0.5714,0.6,0.2588,0.74056667,0.27755,0.67851667,0.6590418977777779,-0.10896666999999993,-0.07851667000000007,-0.018750000000000044
Novak Djokovic,Roger Federer,0,2011-05-22,2011-520,Roland Garros,0.6667,0.5982,0.6296,0.2308,0.4792,0.6012,0.1773,0.79458,0.20348,0.7662,0.6828659086363632,-0.19638,-0.16500000000000004,-0.02617999999999998
Novak Djokovic,Roger Federer,1,2011-08-29,2011-560,US Open,0.5857,0.8293,0.6154,0.3267,0.4068,0.7143,0.1707,0.73977143,0.25764286,0.67737143,0.6877407225287352,0.08952857000000003,0.03692857000000005,-0.08694285999999998
Novak Djokovic,Roger Federer,1,2012-05-13,2012-416,Rome Masters,0.5758,0.8158,0.5926,0.2188,0.5152,0.7121,0.2615,0.72854,0.18932,0.66058,0.6796216908450701,0.08726,0.05152000000000001,0.07218000000000002
Novak Djokovic,Roger Federer,1,2012-05-27,2012-520,Roland Garros,0.6813,0.7258,0.5185,0.4375,0.5143,0.6484,0.2442,0.71705714,0.20621429,0.67368571,0.6727758690540541,0.008742860000000019,-0.025285710000000017,0.037985710000000006
Novak Djokovic,Roger Federer,0,2012-06-25,2012-540,Wimbledon,0.6348,0.7123,0.6,0.2462,0.2778,0.6609,0.099,0.78035,0.19613333,0.71766667,0.6680763285507246,-0.06804999999999994,-0.05676666999999991,-0.09713332999999999
Novak Djokovic,Roger Federer,0,2012-08-12,2012-422,Cincinnati Masters,0.5738,0.6571,0.619,0.1818,0.3182,0.5902,0.1429,0.7728,0.24652,0.69326,0.6792095240476193,-0.11570000000000003,-0.10306000000000004,-0.10361999999999999
Novak Djokovic,Roger Federer,1,2012-11-05,2012-605,Tour Finals,0.6939,0.6324,0.5,0.386,0.4412,0.5816,0.1828,0.77434,0.19988,0.68508,0.6894893185227277,-0.14194000000000007,-0.10348000000000002,-0.017080000000000012
Novak Djokovic,Roger Federer,1,2013-10-28,2013-352,Paris Masters,0.6522,0.7167,0.6296,0.322,0.5385,0.6522,0.2022,0.78064,0.18168,0.72346,0.7111624009333329,-0.06394,-0.07125999999999999,0.020519999999999983
Novak Djokovic,Roger Federer,1,2013-11-04,2013-605,Tour Finals,0.5644,0.7018,0.5476,0.3393,0.4524,0.6238,0.233,0.72242,0.19962,0.693,0.7111592601234563,-0.02061999999999997,-0.06919999999999993,0.03338000000000002
Novak Djokovic,Roger Federer,0,2014-02-24,2014-495,Dubai,0.6163,0.6792,0.6129,0.2391,0.4194,0.6395,0.1688,0.72373333,0.1868,0.66236667,0.7100822231999995,-0.04453332999999993,-0.02286667000000009,-0.017999999999999988
Novak Djokovic,Roger Federer,1,2014-03-06,2014-404,Indian Wells Masters,0.6458,0.7581,0.5862,0.2969,0.3636,0.6667,0.1584,0.79105,0.21153333,0.71148333,0.7091463480821911,-0.032950000000000035,-0.04478333000000001,-0.05313332999999998
Novak Djokovic,Roger Federer,0,2014-04-13,2014-410,Monte Carlo Masters,0.678,0.6,0.6316,0.175,0.375,0.6102,0.1228,0.733275,0.21785,0.71125,0.7120487187179485,-0.13327500000000003,-0.10105000000000008,-0.09504999999999998
Novak Djokovic,Roger Federer,1,2014-06-23,2014-540,Wimbledon,0.6207,0.7315,0.6825,0.2331,0.5185,0.7011,0.1719,0.76712857,0.20972857,0.70834286,0.7109657520512821,-0.03562856999999997,-0.007242860000000073,-0.037828570000000006
Novak Djokovic,Roger Federer,0,2014-10-05,2014-5014,Shanghai Masters,0.6883,0.6038,0.5417,0.3137,0.35,0.5844,0.1111,0.753425,0.196925,0.6962,0.696196000533334,-0.149625,-0.11180000000000001,-0.08582499999999998
Novak Djokovic,Roger Federer,0,2015-02-23,2015-495,Dubai,0.629,0.6923,0.5714,0.1961,0.5926,0.629,0.2152,0.76042,0.29068,0.68624,0.6953313164473691,-0.06811999999999996,-0.05723999999999996,-0.07547999999999999
Novak Djokovic,Roger Federer,1,2015-03-12,2015-404,Indian Wells Masters,0.604,0.7705,0.6,0.2807,0.6053,0.6733,0.2653,0.7666,0.22982,0.72454,0.6957913897222229,0.0039000000000000146,-0.05123999999999995,0.035479999999999984
Novak Djokovic,Roger Federer,1,2015-05-10,2015-416,Rome Masters,0.717,0.8421,0.7143,0.2308,0.6364,0.7925,0.2419,0.79208,0.1924,0.73018,0.6944982505000004,0.05001999999999995,0.06231999999999993,0.049500000000000016
Novak Djokovic,Roger Federer,1,2015-06-29,2015-540,Wimbledon,0.6552,0.7368,0.6122,0.2553,0.4773,0.6897,0.1702,0.77135714,0.20012857,0.73285714,0.7029135435064936,-0.034557139999999986,-0.04315714000000004,-0.029928570000000015
Novak Djokovic,Roger Federer,0,2015-08-16,2015-422,Cincinnati Masters,0.5949,0.7021,0.5357,0.1714,0.2083,0.6076,0.1148,0.67404,0.24182,0.6287,0.7045566263855425,0.028059999999999974,-0.021100000000000008,-0.12702000000000002
Novak Djokovic,Roger Federer,1,2015-08-31,2015-560,US Open,0.6194,0.6563,0.5926,0.2874,0.4889,0.6129,0.1971,0.77114286,0.27055714,0.7279,0.7047734175949368,-0.11484285999999999,-0.11499999999999999,-0.07345713999999998
Novak Djokovic,Roger Federer,1,2015-11-15,2015-605,Tour Finals,0.6607,0.6216,0.8421,0.2895,0.5263,0.6964,0.2034,0.72342,0.21068,0.7154,0.7080372091860468,-0.10181999999999991,-0.019000000000000017,-0.007280000000000009
Novak Djokovic,Roger Federer,0,2015-11-15,2015-605,Tour Finals,0.6607,0.6216,0.8421,0.2895,0.5263,0.6964,0.2034,0.72342,0.21068,0.7154,0.7081218389655176,-0.10181999999999991,-0.019000000000000017,-0.007280000000000009
Novak Djokovic,Roger Federer,1,2016-01-18,2016-580,Australian Open,0.6701,0.7692,0.6774,0.386,0.5,0.732,0.22,0.76647143,0.2349,0.71398571,0.7095127814736847,0.0027285700000000412,0.01801428999999999,-0.014899999999999997
Roger Federer,Novak Djokovic,1,2006-04-17,2006-410,Monte Carlo Masters,0.5342,0.7179,0.6176,0.4098,0.3448,0.6712,0.1489,0.77933333,0.19453333,0.72511667,0.7068031636708869,-0.061433330000000064,-0.05391667,-0.04563333
Roger Federer,Novak Djokovic,1,2007-01-15,2007-580,Australian Open,0.625,0.8,0.6897,0.3871,0.5135,0.75,0.2079,0.77341429,0.25538571,0.7161,0.7140847826086972,0.026585710000000096,0.03390000000000004,-0.04748570999999999
Roger Federer,Novak Djokovic,1,2007-02-26,2007-495,Dubai,0.62,0.7419,0.5946,0.3333,0.4516,0.68,0.1837,0.7716,0.2067,0.72572,0.7154608603225817,-0.02969999999999995,-0.04571999999999998,-0.022999999999999993
Roger Federer,Novak Djokovic,0,2007-08-05,2007-421,Canada Masters,0.6765,0.7681,0.4375,0.3016,0.3667,0.6569,0.1458,0.86012,0.20822,0.74762,0.7047742851948057,-0.09201999999999999,-0.09071999999999991,-0.062419999999999976
Roger Federer,Novak Djokovic,1,2007-08-27,2007-560,US Open,0.6226,0.7879,0.6944,0.2969,0.3556,0.7264,0.1983,0.78271429,0.20117143,0.74521429,0.7122726475609763,0.00518571000000001,-0.0188142899999999,-0.002871430000000008
Roger Federer,Novak Djokovic,0,2008-01-14,2008-580,Australian Open,0.6239,0.7059,0.4615,0.2208,0.5,0.6055,0.1858,0.78255,0.22595,0.72315,0.70938481,-0.07665,-0.11764999999999992,-0.04015000000000002
Roger Federer,Novak Djokovic,1,2008-04-20,2008-410,Monte Carlo Masters,0.5238,0.8182,0.5,0.4054,0.5455,0.6667,0.2419,0.68966,0.21006,0.62408,0.7150517333333333,0.12854,0.04261999999999999,0.03184000000000001
Roger Federer,Novak Djokovic,1,2008-08-25,2008-560,US Open,0.64,0.7625,0.6136,0.2875,0.4872,0.704,0.1935,0.77811429,0.20981429,0.70787143,0.717508604090908,-0.01561429000000003,-0.003871430000000009,-0.01631428999999998
Roger Federer,Novak Djokovic,0,2009-03-25,2009-403,Miami Masters,0.6,0.5833,0.4643,0.3137,0.3333,0.5125,0.137,0.72656,0.24574,0.66414,0.705668409090909,-0.14325999999999994,-0.15164,-0.10873999999999998
Roger Federer,Novak Djokovic,0,2009-04-27,2009-416,Rome Masters,0.4938,0.725,0.4474,0.36,0.3636,0.5679,0.22,0.8002,0.224125,0.7059,0.7076365853658537,-0.07520000000000004,-0.138,-0.00412499999999999
Roger Federer,Novak Djokovic,1,2009-08-16,2009-422,Cincinnati Masters,0.55,0.8485,0.5556,0.4,0.64,0.7167,0.2099,0.85056,0.2106,0.73986,0.7163221624324332,-0.0020599999999999508,-0.02315999999999996,-0.0007000000000000062
Roger Federer,Novak Djokovic,1,2009-08-31,2009-560,US Open,0.578,0.7778,0.6512,0.3205,0.3939,0.7064,0.1478,0.78935714,0.19988571,0.71295714,0.7171667952702713,-0.011557139999999966,-0.006557139999999961,-0.05208571000000001
Roger Federer,Novak Djokovic,0,2009-11-02,2009-328,Basel,0.7093,0.6885,0.4583,0.2857,0.3214,0.6163,0.1633,0.78832,0.1657,0.7288,0.713562318695653,-0.09982000000000002,-0.11250000000000004,-0.0023999999999999855
Roger Federer,Novak Djokovic,1,2010-08-09,2010-421,Canada Masters,0.5789,0.7273,0.4474,0.4321,0.4706,0.6,0.161,0.753,0.2185,0.66328,0.708505372238807,-0.025700000000000056,-0.06328,-0.057499999999999996
Roger Federer,Novak Djokovic,0,2010-08-30,2010-560,US Open,0.525,0.7381,0.493,0.3191,0.3333,0.6063,0.1391,0.80893333,0.20013333,0.71075,0.7051528978260879,-0.07083333000000003,-0.10445000000000004,-0.06103333
Roger Federer,Novak Djokovic,1,2010-10-10,2010-5014,Shanghai Masters,0.6164,0.7556,0.6,0.375,0.3478,0.6712,0.16,0.75142,0.19676,0.67324,0.7040960601515159,0.0041800000000000725,-0.0020399999999999308,-0.03675999999999999
Roger Federer,Novak Djokovic,1,2010-11-01,2010-328,Basel,0.5833,0.7959,0.6129,0.3509,0.3043,0.6905,0.1098,0.9077,0.17274,0.7901,0.7033666662666676,-0.1117999999999999,-0.09960000000000002,-0.06294000000000001
Roger Federer,Novak Djokovic,1,2010-11-21,2010-605,Tour Finals,0.6182,0.7647,0.6,0.4286,0.5263,0.6909,0.2281,0.8212,0.21164,0.73032,0.7102844996250008,-0.056499999999999995,-0.03942000000000001,0.016460000000000002
Roger Federer,Novak Djokovic,0,2011-01-17,2011-580,Australian Open,0.5905,0.7258,0.4651,0.2674,0.5294,0.619,0.184,0.7675,0.2112,0.69325,0.7151041663095243,-0.04169999999999996,-0.07425000000000004,-0.027200000000000002
Roger Federer,Novak Djokovic,0,2011-02-21,2011-495,Dubai,0.6034,0.6286,0.4091,0.1818,0.4375,0.5345,0.1429,0.75314,0.17948,0.6642,0.7129878048780494,-0.12453999999999998,-0.12970000000000004,-0.03658
Roger Federer,Novak Djokovic,0,2011-03-10,2011-404,Indian Wells Masters,0.5647,0.6875,0.4286,0.3684,0.375,0.5647,0.1529,0.81774,0.23142,0.69956,0.7118096551724142,-0.13024000000000002,-0.13485999999999998,-0.07851999999999998
Roger Federer,Novak Djokovic,1,2011-05-22,2011-520,Roland Garros,0.6454,0.7692,0.5208,0.4018,0.3704,0.6738,0.131,0.79391429,0.19314286,0.71078571,0.7162654628571431,-0.024714290000000028,-0.03698571000000006,-0.062142859999999994
Roger Federer,Novak Djokovic,0,2011-08-29,2011-560,US Open,0.6159,0.6733,0.5932,0.1707,0.3846,0.628,0.1857,0.77093333,0.23268333,0.70961667,0.719885489882353,-0.09763332999999996,-0.08161666999999995,-0.04698332999999999
Roger Federer,Novak Djokovic,0,2012-05-13,2012-416,Rome Masters,0.4923,0.7813,0.4848,0.1842,0.4074,0.6308,0.1818,0.802225,0.2006,0.718575,0.7340152776388902,-0.02092499999999997,-0.08777499999999994,-0.01880000000000001
Roger Federer,Novak Djokovic,0,2012-05-27,2012-520,Roland Garros,0.5581,0.5625,0.4857,0.2742,0.4815,0.5116,0.1648,0.72205,0.20993333,0.66671667,0.731531191000001,-0.15954999999999997,-0.15511666999999996,-0.04513333
Roger Federer,Novak Djokovic,1,2012-06-25,2012-540,Wimbledon,0.6436,0.7538,0.7222,0.2877,0.4,0.7426,0.1565,0.79122857,0.1956,0.72517143,0.7274607625333346,-0.037428569999999994,0.017428570000000088,-0.039099999999999996
Roger Federer,Novak Djokovic,1,2012-08-12,2012-422,Cincinnati Masters,0.5893,0.8182,0.6818,0.3429,0.381,0.75,0.2131,0.83294,0.1803,0.75884,0.7237236591463428,-0.014739999999999975,-0.008839999999999959,0.032800000000000024
Roger Federer,Novak Djokovic,0,2012-11-05,2012-605,Tour Finals,0.6129,0.614,0.5588,0.3676,0.5,0.5806,0.1633,0.7793,0.1863,0.70438,0.7246311367045468,-0.1653,-0.12378,-0.022999999999999993
Roger Federer,Novak Djokovic,0,2013-10-28,2013-352,Paris Masters,0.6629,0.678,0.4615,0.2833,0.3704,0.5843,0.163,0.776275,0.20105,0.69835,0.7005754101639352,-0.098275,-0.11404999999999998,-0.03805
Roger Federer,Novak Djokovic,0,2013-11-04,2013-605,Tour Finals,0.5437,0.6607,0.5476,0.2982,0.4524,0.5825,0.2079,0.70935,0.15915,0.631475,0.6963835823880604,-0.04865000000000008,-0.04897499999999999,0.04874999999999999
Roger Federer,Novak Djokovic,1,2014-02-24,2014-495,Dubai,0.5974,0.7609,0.5806,0.3208,0.3871,0.6883,0.1628,0.7918,0.25904,0.6804,0.6958731347761203,-0.030899999999999928,0.007900000000000018,-0.09623999999999999
Roger Federer,Novak Djokovic,0,2014-03-06,2014-404,Indian Wells Masters,0.6337,0.7031,0.6364,0.2419,0.4138,0.6535,0.1771,0.7695,0.25348333,0.72545,0.696158571857144,-0.06640000000000001,-0.07195000000000007,-0.07638333
Roger Federer,Novak Djokovic,1,2014-04-13,2014-410,Monte Carlo Masters,0.7018,0.825,0.625,0.4,0.3684,0.7544,0.1186,0.80692,0.19454,0.70624,0.7036016442465766,0.018079999999999985,0.04815999999999998,-0.07594
Roger Federer,Novak Djokovic,0,2014-06-23,2014-540,Wimbledon,0.6927,0.7669,0.4815,0.2685,0.3175,0.6667,0.1322,0.82347143,0.19745714,0.76595714,0.7099130785915506,-0.05657142999999998,-0.09925714000000008,-0.06525713999999999
Roger Federer,Novak Djokovic,1,2014-10-05,2014-5014,Shanghai Masters,0.7083,0.6863,0.65,0.3962,0.4583,0.6667,0.1429,0.78698,0.16154,0.7209,0.7086474357692317,-0.10067999999999999,-0.054200000000000026,-0.01863999999999999
Roger Federer,Novak Djokovic,1,2015-02-23,2015-495,Dubai,0.6456,0.8039,0.4074,0.3077,0.4286,0.6582,0.1774,0.8437,0.25696,0.75194,0.7282624996250008,-0.03980000000000006,-0.09374000000000005,-0.07956000000000002
Roger Federer,Novak Djokovic,0,2015-03-12,2015-404,Indian Wells Masters,0.5816,0.7193,0.3947,0.2295,0.4,0.5714,0.1881,0.80463333,0.2562,0.73026667,0.7319509520000008,-0.08533332999999999,-0.15886667,-0.0681
Roger Federer,Novak Djokovic,0,2015-05-10,2015-416,Rome Masters,0.629,0.7692,0.3636,0.1579,0.2857,0.6129,0.0943,0.82096,0.17414,0.71674,0.7270477332000005,-0.05176000000000003,-0.10384000000000004,-0.07984
Roger Federer,Novak Djokovic,0,2015-06-29,2015-540,Wimbledon,0.6667,0.7447,0.5227,0.2632,0.3878,0.6596,0.1379,0.83468571,0.18798571,0.7696,0.7249220781818186,-0.08998571,-0.10999999999999999,-0.050085710000000006
Roger Federer,Novak Djokovic,1,2015-08-16,2015-422,Cincinnati Masters,0.5738,0.8286,0.7917,0.2979,0.4643,0.7869,0.2152,0.85076,0.20032,0.78718,0.7341279454794526,-0.022159999999999958,-0.00027999999999994696,0.014880000000000004
Roger Federer,Novak Djokovic,0,2015-08-31,2015-560,US Open,0.635,0.7126,0.5111,0.3438,0.4074,0.6204,0.1742,0.80414286,0.21401429,0.7278,0.7391500002702707,-0.09154286,-0.10740000000000005,-0.03981429
Roger Federer,Novak Djokovic,0,2015-11-15,2015-605,Tour Finals,0.6441,0.7105,0.4737,0.3784,0.1579,0.6102,0.0536,0.77546,0.18564,0.65046,0.7349464708823533,-0.06496000000000002,-0.040260000000000074,-0.13204
Roger Federer,Novak Djokovic,1,2015-11-15,2015-605,Tour Finals,0.6441,0.7105,0.4737,0.3784,0.1579,0.6102,0.0536,0.77546,0.18564,0.65046,0.7325325717142861,-0.06496000000000002,-0.040260000000000074,-0.13204
Roger Federer,Novak Djokovic,0,2016-01-18,2016-580,Australian Open,0.57,0.614,0.5,0.2308,0.3226,0.56,0.1134,0.80871667,0.21291667,0.7111,0.7288243245945948,-0.19471667000000004,-0.1510999999999999,-0.09951667
